app,arm,run,cost,haiku,passed,total,regressions,questions,timeouts,round_trips,tool_calls,output_tokens,cache_write_tokens,api_min,session_min,wall_min,record_touches,lines
calculator,control,calculator-rep-control-01,5.9302,0.0,33,33,0,0,0,90,85,69826,222398,14.74,16.86,17.11,,605
calculator,control,calculator-rep-control-02,5.9239,0.0,33,33,0,0,0,83,78,72208,228286,15.4,17.5,17.76,,602
calculator,control,calculator-rep-control-03,5.1514,0.0,33,33,0,0,0,81,73,61110,194367,13.11,14.35,14.61,,569
calculator,rules-only,calculator-rep-rules-only-01,2.8721,0.0,33,33,0,0,0,36,43,32833,139604,7.25,7.29,7.6,0,330
calculator,rules-only,calculator-rep-rules-only-02,4.0041,0.0,33,33,0,0,0,42,45,53267,187038,11.2,11.36,11.61,0,457
calculator,rules-only,calculator-rep-rules-only-03,3.1952,0.0,33,33,0,0,0,38,45,39777,150614,8.64,8.78,9.1,0,385
calculator,v2,calculator-rep-v2-01,3.6914,0.1603,31,33,0,0,0,40,45,40665,172876,8.25,10.51,10.8,0,461
calculator,v2,calculator-rep-v2-02,3.7907,0.1638,33,33,0,0,0,40,37,43318,175102,9.28,11.95,12.29,0,512
calculator,v2,calculator-rep-v2-03,3.7833,0.1549,33,33,0,0,0,42,35,41365,174536,8.74,12.89,13.18,0,445
tetris,control,tetris-rep-control-01,6.4678,0.0,29,29,0,0,0,85,78,79727,256347,16.79,17.87,18.18,,700
tetris,control,tetris-rep-control-02,6.4231,0.0,29,29,0,0,0,87,79,76931,260048,16.25,17.4,17.66,,682
tetris,control,tetris-rep-control-03,6.497,0.0,29,29,0,0,0,89,83,77942,253580,16.2,18.58,18.84,,778
tetris,rules-only,tetris-rep-rules-only-01,3.5056,0.0,29,29,0,0,0,37,53,36471,188110,7.53,7.6,7.85,0,642
tetris,rules-only,tetris-rep-rules-only-02,3.6171,0.0,29,29,0,0,0,37,42,41985,187076,8.85,8.94,9.2,0,562
tetris,rules-only,tetris-rep-rules-only-03,3.3446,0.0,28,29,0,0,0,37,54,35667,176112,7.59,7.69,7.93,0,526
tetris,v2,tetris-rep-v2-01,3.8304,0.1739,29,29,0,0,0,37,38,39702,193033,8.45,11.03,11.36,0,480
tetris,v2,tetris-rep-v2-02,3.6846,0.1962,29,29,0,0,0,33,46,35891,195343,7.34,9.95,10.25,0,592
tetris,v2,tetris-rep-v2-03,3.684,0.1561,29,29,0,0,0,34,35,36147,195920,7.52,9.87,10.2,0,659
todo,control,todo-rep-control-01,4.3575,0.0,24,24,0,0,0,73,69,44064,179357,9.24,10.61,10.76,,400
todo,control,todo-rep-control-02,4.7379,0.0,24,24,0,0,0,73,67,52378,195558,10.83,13.47,13.69,,517
todo,control,todo-rep-control-03,5.0821,0.0,24,24,0,0,0,84,80,55384,196612,11.57,15.1,15.26,,454
todo,rules-only,todo-rep-rules-only-01,3.4147,0.0,24,24,0,0,0,49,87,33075,165502,6.78,7.01,7.19,0,386
todo,rules-only,todo-rep-rules-only-02,3.2361,0.0,24,24,0,0,0,49,83,29886,156335,6.35,6.62,6.83,0,355
todo,rules-only,todo-rep-rules-only-03,2.5314,0.0,24,24,0,0,0,41,39,20843,128036,4.76,4.96,5.15,0,289
todo,v2,todo-rep-v2-01,2.9127,0.1353,24,24,0,0,0,36,40,23154,152208,5.01,7.02,7.38,0,401
todo,v2,todo-rep-v2-02,3.1518,0.1434,24,24,0,0,0,44,39,24637,153333,5.33,7.49,7.82,0,331
todo,v2,todo-rep-v2-03,2.5265,0.1211,24,24,0,0,0,31,28,18224,138548,4.06,5.8,6.11,0,320
